Nom;Prix;Adresse;Image_URL
Scottish Fold;720000;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5673757_uploaded_image1_1765819078.jpg
Chaton;750000;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5673754_uploaded_image1_1765818969.jpg
Chaton Persan;650000;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5673747_uploaded_image1_1765818767.jpg
British Long Hair Blue;750000;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5673744_uploaded_image1_1765818608.jpg
Chaton;750000;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5673743_uploaded_image1_1765818498.jpg
Auqarium 110 litre et couple de tortue;50000;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5672207_uploaded_image1_1765734200.jpg
Chatons;165000;Almadies 2, Dakar, Sénégal;https://images.coinafrique.com/thumb_5671561_uploaded_image1_1765674851.jpg
Perroquets rose gorge;40000;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5668046_uploaded_image1_1765474059.jpg
Taureau;2500000;Fatick, Sénégal;https://images.coinafrique.com/thumb_5634272_uploaded_image1_1763756384.jpg
Bœuf;650;Bambey, Sénégal;https://images.coinafrique.com/thumb_5632019_uploaded_image1_1763646437.jpg
Bœuf;725;Bambey, Sénégal;https://images.coinafrique.com/thumb_5632012_uploaded_image1_1763646301.jpg
Vache;350000;Patte d'oie, Dakar, Sénégal;https://images.coinafrique.com/thumb_5587581_uploaded_image1_1761220550.jpg
Bœufs;165000;Pikine, Sénégal;https://images.coinafrique.com/thumb_5577776_uploaded_image1_1760656718.jpg
Œuf à couver;165000;Sicap foire, Dakar, Sénégal;https://images.coinafrique.com/thumb_5570463_uploaded_image1_1760280696.jpg
Perroquets perruches ondulées;25000;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5560070_uploaded_image1_1759698099.jpg
Pintades;165000;Thies, Sénégal;https://images.coinafrique.com/thumb_5547215_uploaded_image1_1759069446.jpg
Grand Bouc Hijazi;1200;Saint Louis, Sénégal;https://images.coinafrique.com/thumb_5547149_uploaded_image1_1759064910.jpg
Chat Persan chinchilla;170000;Sicap Liberté, Dakar, Sénégal;https://images.coinafrique.com/thumb_5543922_uploaded_image1_1758835732.jpg
Taureau métis d'insémination;2500000;Fatick, Sénégal;https://images.coinafrique.com/thumb_5543760_uploaded_image1_1758829182.jpg
Taureau métis;2500000;Fatick, Sénégal;https://images.coinafrique.com/thumb_5538746_uploaded_image1_1758579115.jpg
Angora turc-chat;165000;Sicap Liberté, Dakar, Sénégal;https://images.coinafrique.com/thumb_5536029_uploaded_image1_1758435597.jpg
Calopsite élégante;75000;Point E, Dakar, Sénégal;https://images.coinafrique.com/thumb_5530646_uploaded_image1_1758128661.jpg
Chaton Chartreux;100000;Ouest Foire, Dakar, Sénégal;https://images.coinafrique.com/thumb_5523792_uploaded_image1_1757773181.jpg
Oies toulouse;165000;Fass, Dakar, Sénégal;https://images.coinafrique.com/thumb_5520138_uploaded_image1_1757590578.jpg
Cailles et œufs de caille;3000;Guediawaye, Dakar, Sénégal;https://images.coinafrique.com/thumb_5514762_uploaded_image2_1757337112.jpeg
Chats;165000;Almadies, Dakar, Sénégal;https://images.coinafrique.com/thumb_5512934_uploaded_image1_1757238653.jpg
Chat  siamois;165000;Almadies, Dakar, Sénégal;https://images.coinafrique.com/thumb_5512930_uploaded_image1_1757238545.jpg
Paon;165000;Thies, Sénégal;https://images.coinafrique.com/thumb_5506967_uploaded_image2_1756912377.jpeg
Chaton;35000;Mariste, Dakar, Sénégal;https://images.coinafrique.com/thumb_5504764_uploaded_image1_1756819478.jpg
Oie;40000;Dakar, Sénégal;https://images.coinafrique.com/thumb_5499869_uploaded_image1_1756556464.jpg
Lapin nain;165000;Dieuppeul-Derklé, Dakar, Sénégal;https://images.coinafrique.com/thumb_5493761_uploaded_image1_1756214626.jpg
Chat siamois;165000;Almadies, Dakar, Sénégal;https://images.coinafrique.com/thumb_5485800_uploaded_image1_1755771580.jpg
Chaton Ragdoll;950000;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5482181_uploaded_image1_1755602298.jpg
Boeuf;165000;Niaga, Sénégal;https://images.coinafrique.com/thumb_5480837_uploaded_image1_1755523512.jpg
Boeuf;165000;Niaga, Sénégal;https://images.coinafrique.com/thumb_5480832_uploaded_image1_1755523426.jpg
Vache;850000;Rufisque, Sénégal;https://images.coinafrique.com/thumb_5479568_uploaded_image1_1755445038.jpg
