Nom;Prix;Adresse;Categorie;Image_lien
Perruches;Prix sur demande;Point E, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_751123_uploaded_image1_1563297186.25.png)
Carpe Koï Japonaise ( Aquarium);50 000 CFA;Dakar-Plateau, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_827220_uploaded_image1_1565349629.12.png)
Perruches;Prix sur demande;Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png)
Bœuf;400 000 CFA;Guediawaye, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_885779_uploaded_image2_1566997623.56.png)
Chèvre Balami;200 000 CFA;Saint Louis, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png)
Verrat de race Large white;200 000 CFA;Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png)
Caille;1 000 CFA;Grand Yoff, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_931708_uploaded_image1_1568194736.45.png)
Mouton ladoum pure sang;Prix sur demande;Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png)
Boeuf;Prix sur demande;Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png)
Paon bleu;Prix sur demande;Parcelle Assainies, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png)
Oies;60 000 CFA;Fass, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1311792_uploaded_image1_1575817543.97.png)
Oies;Prix sur demande;Fass, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1322739_uploaded_image1_1576006817.07.png)
Cailles;12 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1376905_uploaded_image1_1577034747.91.png)
Perruches;Prix sur demande;Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png)
Oiseaux exotiques;20 000 CFA;Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png)
Perruches;Prix sur demande;Mermoz-Sacré-Cœur, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png)
Perruches;Prix sur demande;Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1395711_uploaded_image1_1577438640.7.png)
Oies de guinée;Prix sur demande;Thies, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png)
Cheval;400 000 CFA;Fatick, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png)
Cheval;400 000 CFA;Fatick, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png)
Oies toulouse;Prix sur demande;Fass, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png)
Perruches;Prix sur demande;Mermoz-Sacré-Cœur, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1441558_uploaded_image1_1578406878.24.png)
Perruches;Prix sur demande;Point E, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1453830_uploaded_image1_1578583361.91.png)
Perruches;Prix sur demande;Point E, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png)
Biscuit en poudre pour betail;4 000 CFA;Patte d'oie, Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png)
Dindes - canards et colverts;Prix sur demande;Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png)
Bœuf;700 000 CFA;Saint Louis, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1495773_uploaded_image1_1579276951.77.png)
Vaches;275 000 CFA;Rufisque, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png)
Couple de chèvre;Prix sur demande;Dakar, Sénégal;Autres animaux;background-image:url(https://images.coinafrique.com/thumb_1521675_uploaded_image1_1579700066.65.png)
