Nom;Prix;Adresse;Categorie;Image_lien
Pitt Bull red nose femelle;Prix sur demande;Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_742530_uploaded_image1_1563025513.69.png)
Chiots Pitbull;250 000 CFA;Grand Yoff, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_742716_uploaded_image2_1563030467.78.png)
Caniche bichon;200 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_751558_uploaded_image1_1563309112.52.png)
Chiot Boerboel;450 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_751964_uploaded_image1_1563320930.56.png)
Pitbull Red Nose;220 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_778978_uploaded_image1_1564025139.31.png)
Caniche bichons maltais;190 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png)
Chien berger allemand à poil long;200 000 CFA;Hann Bel-Air, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_848994_uploaded_image1_1566053635.51.png)
Chiots Cane Corso;Prix sur demande;Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_891450_uploaded_image1_1567127976.09.png)
Pitbull black nose;250 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png)
Chiot Cane Corso;800 000 CFA;Fann, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_956906_uploaded_image1_1568758075.68.png)
Boerboel femelle;400 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_989796_uploaded_image1_1569465977.94.png)
Chiots;350 000 CFA;Les Parcelles Assainies, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_1000525_uploaded_image1_1569688531.08.png)
Chiot akita américain;Prix sur demande;Fann, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_1106542_uploaded_image1_1571934153.2.png)
Chiot berger allemand;200 000 CFA;Patte d'oie, Dakar, Sénégal;Chiens;background-image:url(https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png)
